Kiosk ID,Kiosk Name,Go Live Date,Region ,Status,Latitude,Longitude
3000,Virtual Station,7/7/2016,N/A,Active,0,0
3005,7th & Flower,7/7/2016,DTLA,Active,34.048500,-118.258537
3006,Olive & 8th,7/7/2016,DTLA,Active,34.045540,-118.256668
3007,5th & Grand,7/7/2016,DTLA,Active,34.050480,-118.254593
3008,Figueroa & 9th,7/7/2016,DTLA,Active,34.046612,-118.262733
3010,11th & Maple,7/10/2016,DTLA,Active,34.037048,-118.254868
3011,Figueroa & Pico,7/12/2016,DTLA,Active,34.041119,-118.26796
3013,Anaheim & Avalon,7/31/2017,Port of LA,Inactive,33.779819,-118.263023
3014,Union Station West Portal,7/7/2016,DTLA,Active,34.056610,-118.237213
3016,Los Angeles & Temple,7/7/2016,DTLA,Active,34.052898,-118.241562
3018,Grand & Olympic,7/7/2016,DTLA,Active,34.043732,-118.260139
3019,12th & Hill,7/7/2016,DTLA,Active,34.038609,-118.260857
3020,Hill & Washington,7/7/2016,DTLA,Active,34.031052,-118.267090
3021,3rd & Rose,7/7/2016,DTLA,Inactive,34.045609,-118.237030
3022,3rd & Santa Fe,7/7/2016,DTLA,Active,34.046070,-118.233093
3023,1st & Judge John Aiso,7/7/2016,DTLA,Inactive,34.050911,-118.240967
3024,Hope & 1st,7/13/2016,DTLA,Active,34.057720,-118.248970
3025,Grand & Washington,7/7/2016,DTLA,Active,34.032860,-118.268082
3026,Figueroa & Cesar Chavez,7/7/2016,DTLA,Active,34.063179,-118.245880
3027,Spring & 3rd,7/7/2016,DTLA,Active,34.049980,-118.247162
3028,Grand & Temple,7/7/2016,DTLA,Inactive,34.058319,-118.246094
3029,Main & 4th,7/7/2016,DTLA,Inactive,34.048851,-118.246422
3030,Main & 1st,7/7/2016,DTLA,Active,34.051941,-118.243530
3031,7th & Spring,7/7/2016,DTLA,Inactive,34.044701,-118.252441
3032,Hope & 6th,7/7/2016,DTLA,Active,34.049889,-118.255882
3033,Main & 9th,7/7/2016,DTLA,Active,34.040989,-118.255798
3034,Hope & 11th,7/7/2016,DTLA,Active,34.042061,-118.263382
3035,Figueroa & 8th,7/7/2016,DTLA,Active,34.048401,-118.260948
3036,Willow St & Mateo St,7/7/2016,DTLA,Active,34.039188,-118.232529
3037,Imperial & 7th,7/7/2016,DTLA,Active,34.034801,-118.231277
3038,Main & 5th,7/7/2016,DTLA,Inactive,34.046822,-118.248352
3040,Wilshire & Witmer,7/7/2016,DTLA,Active,34.053570,-118.266357
3042,1st & Central,7/7/2016,DTLA,Active,34.049301,-118.238808
3045,18th & San Pedro,7/7/2016,DTLA,Active,34.028511,-118.256668
3046,2nd & Hill,7/12/2016,DTLA,Active,34.052872,-118.247490
3047,Pico & Flower,7/7/2016,DTLA,Active,34.039982,-118.266403
3048,5th & Hewitt,7/13/2016,DTLA,Active,34.041691,-118.235352
3049,2nd & Figueroa,7/7/2016,DTLA,Active,34.056969,-118.253593
3051,7th & Broadway,7/7/2016,DTLA,Inactive,34.045422,-118.253517
3052,7th & Bixel,7/7/2016,DTLA,Active,34.051102,-118.264557
3054,Factory Place & Alameda,7/7/2016,DTLA,Active,34.039219,-118.236488
3055,7th & Main,7/7/2016,DTLA,Inactive,34.044159,-118.251579
3056,Grand & 14th,7/7/2016,DTLA,Active,34.037460,-118.265381
3057,18th & Figueroa,7/7/2016,DTLA,Inactive,34.035679,-118.270813
3058,Industrial St & Mateo St,7/7/2016,DTLA,Active,34.035801,-118.233170
3059,11th & Santee,7/7/2016,DTLA,Inactive,34.037949,-118.256271
3060,Pico & Maple,7/7/2016,DTLA,Inactive,34.034882,-118.257690
3062,3rd & San Pedro,7/7/2016,DTLA,Active,34.047749,-118.243172
3063,Pershing Square,7/7/2016,DTLA,Active,34.048038,-118.253738
3064,Grand & 8th,7/11/2016,DTLA,Active,34.046131,-118.257591
3065,New High & Ord,7/7/2016,DTLA,Active,34.060558,-118.238327
3066,Spring & College,7/7/2016,DTLA,Active,34.063389,-118.236160
3067,Main & 6th,7/7/2016,DTLA,Active,34.045181,-118.250237
3068,Grand & 3rd,7/7/2016,DTLA,Active,34.053200,-118.250954
3069,Broadway & 3rd,7/7/2016,DTLA,Active,34.050880,-118.248253
3074,Hope & Olympic,7/7/2016,DTLA,Active,34.044170,-118.261169
3075,Broadway & 9th,7/7/2016,DTLA,Active,34.042110,-118.256187
3076,9th & Los Angeles,7/7/2016,DTLA,Active,34.040600,-118.253838
3077,8th & Wall,7/7/2016,DTLA,Active,34.039871,-118.250038
3078,Hill & College,7/7/2016,DTLA,Active,34.064281,-118.238937
3079,Temple & Vignes,7/7/2016,DTLA,Active,34.050140,-118.233192
3080,San Julian & 12th,7/7/2016,DTLA,Inactive,34.034210,-118.254593
3081,Stanford & 12th,7/13/2016,DTLA,Active,34.031891,-118.250183
3082,Traction & Rose,8/29/2016,DTLA,Active,34.046520,-118.237411
4125,Banning's Landing,7/31/2017,Port of LA,Inactive,33.766659,-118.261017
4126,Cabrillo Beach,7/31/2017,Port of LA,Inactive,33.710979,-118.284668
4127,Catalina Express,7/31/2017,Port of LA,Inactive,33.748920,-118.275192
4129,Crafted 22nd St Park,7/31/2017,Port of LA,Inactive,33.725819,-118.280510
4130,DoubleTree Hotel,7/31/2017,Port of LA,Inactive,33.719261,-118.282722
4131,Downtown Harbor,7/31/2017,Port of LA,Inactive,33.738979,-118.279266
4132,Fanfare Fountain,7/31/2017,Port of LA,Inactive,33.749130,-118.280182
4133,Ports O'Call,7/31/2017,Port of LA,Inactive,33.733521,-118.277786
4134,USS IOWA,7/31/2017,Port of LA,Inactive,33.741360,-118.278069
4135,Waterfront Park (East),7/31/2017,Port of LA,Inactive,33.772301,-118.268044
4136,Waterfront Park (West),7/31/2017,Port of LA,Inactive,33.771759,-118.276543
4138,Old Pasadena,7/14/2017,Pasadena,Inactive,34.145691,-118.148239
4142,Pasadena Convention Center,7/14/2017,Pasadena,Inactive,34.144588,-118.144592
4144,Cordova & Lake,7/14/2017,Pasadena,Inactive,34.142399,-118.132652
4146,City Hall West,7/14/2017,Pasadena,Inactive,34.147831,-118.145042
4147,Fair Oaks & Mercantile Alley,7/14/2017,Pasadena,Inactive,34.145248,-118.150070
4148,Pasadena Central Library,7/14/2017,Pasadena,Inactive,34.149670,-118.145111
4149,Arroyo Parkway & Bellevue,7/14/2017,Pasadena,Inactive,34.138210,-118.147079
4150,Villa Parke,7/14/2017,Pasadena,Inactive,34.154270,-118.142151
4151,Los Robles & Cordova,7/14/2017,Pasadena,Inactive,34.142361,-118.141510
4152,Pasadena Museum,7/14/2017,Pasadena,Inactive,34.149712,-118.160172
4153,Rose Bowl,7/14/2017,Pasadena,Inactive,34.156181,-118.166687
4154,Fair Oaks & Peoria,7/14/2017,Pasadena,Inactive,34.156120,-118.151192
4155,Lake & Union,7/14/2017,Pasadena,Inactive,34.147812,-118.132217
4156,Madison & Walnut,7/14/2017,Pasadena,Inactive,34.149910,-118.138390
4157,Lake & Del Mar,7/14/2017,Pasadena,Inactive,34.140999,-118.132088
4158,Lake & California,7/14/2017,Pasadena,Inactive,34.135250,-118.132370
4159,Pasadena City College,7/14/2017,Pasadena,Inactive,34.145901,-118.116539
4160,Fillmore Station,7/14/2017,Pasadena,Inactive,34.133011,-118.148560
4162,Memorial Park Station,7/14/2017,Pasadena,Inactive,34.147499,-118.148010
4163,Lake & Locust,7/14/2017,Pasadena,Inactive,34.150471,-118.132019
4165,Del Mar Station,7/14/2017,Pasadena,Inactive,34.141750,-118.149063
4166,Colorado & Hill,7/14/2017,Pasadena,Inactive,34.145908,-118.121750
4167,Pasadena & Dayton,7/14/2017,Pasadena,Inactive,34.143822,-118.154099
4169,Oakland & Union,7/14/2017,Pasadena,Inactive,34.146961,-118.139839
4170,Lake & Merrett,7/14/2017,Pasadena,Inactive,34.160709,-118.132401
4174,Fair Oaks & Hammond,7/14/2017,Pasadena,Inactive,34.165291,-118.150970
4176,Caltech East,7/14/2017,Pasadena,Inactive,34.137859,-118.122414
4177,Madison & Colorado,7/14/2017,Pasadena,Inactive,34.144981,-118.138260
4180,Caltech West,7/21/2017,Pasadena,Inactive,34.137951,-118.128502
4181,Oak Knoll & Colorado,7/14/2017,Pasadena,Inactive,34.146221,-118.135262
4183,Catalina & Colorado,7/14/2017,Pasadena,Inactive,34.146069,-118.129181
4194,Union Station East,7/25/2017,DTLA,Inactive,34.056702,-118.231392
4202,Abbot Kinney & Cadiz,7/7/2017,Westside,Active,33.991161,-118.468292
4204,Washington & Abbot Kinney,7/7/2017,Westside,Active,33.988419,-118.451630
4205,Venice & Lincoln,7/7/2017,Westside,Active,33.993771,-118.453667
4206,California & Lincoln,7/7/2017,Westside,Active,33.998341,-118.461014
4207,Rose & 7th,7/7/2017,Westside,Active,34.000881,-118.468910
4208,Rose & Rennie,7/7/2017,Westside,Active,33.998680,-118.472977
4209,Rose & Main,7/7/2017,Westside,Active,33.996239,-118.477448
4210,Ocean Front Walk & North Venice,7/7/2017,Westside,Active,33.984341,-118.471550
4211,Pacific & North Venice,7/7/2017,Westside,Active,33.984928,-118.469963
4212,Windward & Main,7/7/2017,Westside,Active,33.988129,-118.471741
4213,7th & Westminster,7/7/2017,Westside,Active,33.995369,-118.464798
4214,Ocean Front Walk & Navy,7/7/2017,Westside,Active,33.995560,-118.481552
4215,Downtown Santa Monica E Line Station,7/7/2017,Westside,Active,34.014309,-118.491341
4216,17th St / SMC E Line Station,7/7/2017,Westside,Active,34.023392,-118.479637
4217,Broadway & 11th,7/7/2017,DTLA,Active,34.040310,-118.258270
4220,Park & Echo Park,9/28/2017,DTLA,Active,34.074829,-118.258728
4227,Grand / LATTC,12/15/2017,DTLA,Active,34.029800,-118.270309
4245,University & Hoover,7/8/2018,DTLA,Active,34.024040,-118.283409
4246,32nd & Figueroa,7/3/2018,DTLA,Active,34.023708,-118.279167
4247,25th & Vermont,5/29/2019,DTLA,Active,34.033642,-118.291313
4248,29th & Ellendale,7/2/2018,DTLA,Active,34.028351,-118.288673
4249,Figueroa & McCarthy Way,6/29/2018,DTLA,Active,34.020302,-118.281181
4250,Severance & Adams,7/9/2018,DTLA,Active,34.030170,-118.280952
4254,Hoover & 29th,6/28/2018,DTLA,Active,34.028679,-118.284111
4255,Seabluff & Runway,3/26/2021,Westside,Active,33.973660,-118.422859
4266,28th & Figueroa,11/29/2018,DTLA,Active,34.026291,-118.277687
4267,28th & University,8/23/2018,DTLA,Active,34.027618,-118.280678
4273,Hoover & 32nd,10/8/2018,DTLA,Active,34.025860,-118.284103
4275,Expo Park/LAFC,12/18/2018,DTLA,Active,34.012520,-118.285896
4276,Mariachi Plaza,12/2/2018,DTLA,Inactive,34.047390,-118.218849
4285,Metro Bike Share Free Bikes,2/27/2019,Free Bikes,Inactive,0.000000,0.000000
4286,Metro Bike Share Out of Service Area Smart Bike,2/27/2019,Free Bikes,Inactive,0.000000,0.000000
